"","LIVER","TransferredDose_VMAT1arc"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"37.30","19.8184"
"37.40","19.71846"
"37.50","19.61761"
"37.60","19.51826"
"37.70","19.41849"
"37.80","19.31972"
"37.90","19.22311"
"38.00","19.12551"
"38.10","19.02862"
"38.20","18.93235"
"38.30","18.83542"
"38.40","18.7408"
"38.50","18.64607"
"38.60","18.55236"
"38.70","18.4589"
"38.80","18.36616"
"38.90","18.27375"
"39.00","18.18253"
"39.10","18.09131"
"39.20","18.00103"
"39.30","17.91136"
"39.40","17.82209"
"39.50","17.73376"
"39.60","17.64538"
"39.70","17.55809"
"39.80","17.47128"
"39.90","17.38468"
"40.00","17.29812"
"40.10","17.21279"
"40.20","17.12633"
"40.30","17.04131"
"40.40","16.95593"
"40.50","16.87177"
"40.60","16.78881"
"40.70","16.70544"
"40.80","16.62378"
"40.90","16.54219"
"41.00","16.46057"
"41.10","16.37998"
"41.20","16.29972"
"41.30","16.21996"
"41.40","16.14123"
"41.50","16.06302"
"41.60","15.98577"
"41.70","15.90906"
"41.80","15.8327"
"41.90","15.75626"
"42.00","15.68049"
"42.10","15.60468"
"42.20","15.52944"
"42.30","15.45527"
"42.40","15.38023"
"42.50","15.3062"
"42.60","15.23218"
"42.70","15.15868"
"42.80","15.08503"
"42.90","15.01102"
"43.00","14.93741"
"43.10","14.86403"
"43.20","14.79118"
"43.30","14.71866"
"43.40","14.64598"
"43.50","14.57343"
"43.60","14.50121"
"43.70","14.4294"
"43.80","14.35799"
"43.90","14.2865"
"44.00","14.2162"
"44.10","14.14509"
"44.20","14.07551"
"44.30","14.00535"
"44.40","13.93578"
"44.50","13.86628"
"44.60","13.79827"
"44.70","13.72877"
"44.80","13.66095"
"44.90","13.59263"
"45.00","13.52507"
"45.10","13.45668"
"45.20","13.38881"
"45.30","13.32016"
"45.40","13.25253"
"45.50","13.18366"
"45.60","13.11529"
"45.70","13.04705"
"45.80","12.97896"
"45.90","12.91061"
"46.00","12.84211"
"46.10","12.77266"
"46.20","12.7042"
"46.30","12.63576"
"46.40","12.56813"
"46.50","12.49955"
"46.60","12.43279"
"46.70","12.36584"
"46.80","12.29909"
"46.90","12.23139"
"47.00","12.16407"
"47.10","12.09683"
"47.20","12.02961"
"47.30","11.9627"
"47.40","11.89597"
"47.50","11.82908"
"47.60","11.76311"
"47.70","11.69705"
"47.80","11.62965"
"47.90","11.56239"
"48.00","11.49578"
"48.10","11.42772"
"48.20","11.35857"
"48.30","11.2908"
"48.40","11.22154"
"48.50","11.15256"
"48.60","11.08282"
"48.70","11.01254"
"48.80","10.94494"
"48.90","10.8769"
"49.00","10.80844"
"49.10","10.73808"
"49.20","10.66852"
"49.30","10.59926"
"49.40","10.52827"
"49.50","10.45705"
"49.60","10.38535"
"49.70","10.31285"
"49.80","10.23889"
"49.90","10.16523"
"50.00","10.08932"
"50.10","10.01332"
"50.20","9.93464"
"50.30","9.85709"
"50.40","9.77647"
"50.50","9.69688"
"50.60","9.61653"
"50.70","9.53467"
"50.80","9.45104"
"50.90","9.36639"
"51.00","9.28132"
"51.10","9.19287"
"51.20","9.10236"
"51.30","9.01176"
"51.40","8.9186"
"51.50","8.82212"
"51.60","8.72403"
"51.70","8.62475"
"51.80","8.52331"
"51.90","8.41589"
"52.00","8.30508"
"52.10","8.18773"
"52.20","8.0656"
"52.30","7.93917"
"52.40","7.80981"
"52.50","7.67465"
"52.60","7.53236"
"52.70","7.38286"
"52.80","7.23113"
"52.90","7.07605"
"53.00","6.9235"
"53.10","6.7681"
"53.20","6.6096"
"53.30","6.45189"
"53.40","6.28661"
"53.50","6.11168"
"53.60","5.93138"
"53.70","5.73834"
"53.80","5.53682"
"53.90","5.32194"
"54.00","5.08593"
"54.10","4.84392"
"54.20","4.58728"
"54.30","4.30506"
"54.40","4.01671"
"54.50","3.73002"
"54.60","3.43741"
"54.70","3.14322"
"54.80","2.85598"
"54.90","2.59372"
"55.00","2.34952"
"55.10","2.12795"
"55.20","1.92834"
"55.30","1.74088"
"55.40","1.55018"
"55.50","1.36662"
"55.60","1.1899"
"55.70","1.0244"
"55.80","0.86175"
"55.90","0.72172"
"56.00","0.60633"
"56.10","0.51118"
"56.20","0.44155"
"56.30","0.38224"
"56.40","0.33091"
"56.50","0.28728"
"56.60","0.24646"
"56.70","0.2078"
"56.80","0.17142"
"56.90","0.14081"
"57.00","0.11536"
"57.10","0.09059"
"57.20","0.07071"
"57.30","0.05497"
"57.40","0.03961"
"57.50","0.02497"
"57.60","0.01539"
"57.70","0.01094"
"57.80","0.00844"
"57.90","0.00639"
"58.00","0.0044"
"58.10","0.00226"
"58.20","2.9E-4"
"58.30","0.0"
