"","LIVER, MALE2","TransferredDose_SOBP_F4"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"38.50","8.52369"
"38.60","8.52007"
"38.70","8.51658"
"38.80","8.51303"
"38.90","8.5095"
"39.00","8.50578"
"39.10","8.50227"
"39.20","8.49867"
"39.30","8.4951"
"39.40","8.49169"
"39.50","8.48821"
"39.60","8.4847"
"39.70","8.48122"
"39.80","8.47751"
"39.90","8.47393"
"40.00","8.47029"
"40.10","8.46689"
"40.20","8.4631"
"40.30","8.45976"
"40.40","8.45625"
"40.50","8.45293"
"40.60","8.44927"
"40.70","8.44583"
"40.80","8.44221"
"40.90","8.43881"
"41.00","8.43526"
"41.10","8.43176"
"41.20","8.42792"
"41.30","8.42437"
"41.40","8.42066"
"41.50","8.41713"
"41.60","8.41362"
"41.70","8.41021"
"41.80","8.40682"
"41.90","8.40328"
"42.00","8.39981"
"42.10","8.39616"
"42.20","8.39265"
"42.30","8.38922"
"42.40","8.38587"
"42.50","8.38256"
"42.60","8.37906"
"42.70","8.37554"
"42.80","8.37219"
"42.90","8.36863"
"43.00","8.36525"
"43.10","8.36171"
"43.20","8.35822"
"43.30","8.35458"
"43.40","8.35118"
"43.50","8.34771"
"43.60","8.34419"
"43.70","8.34065"
"43.80","8.3373"
"43.90","8.33363"
"44.00","8.33012"
"44.10","8.32674"
"44.20","8.32321"
"44.30","8.31981"
"44.40","8.31654"
"44.50","8.3129"
"44.60","8.30931"
"44.70","8.30569"
"44.80","8.30237"
"44.90","8.29872"
"45.00","8.29523"
"45.10","8.29184"
"45.20","8.28837"
"45.30","8.28491"
"45.40","8.2817"
"45.50","8.27821"
"45.60","8.275"
"45.70","8.27133"
"45.80","8.26785"
"45.90","8.26443"
"46.00","8.26114"
"46.10","8.25779"
"46.20","8.25442"
"46.30","8.25083"
"46.40","8.24732"
"46.50","8.24393"
"46.60","8.24054"
"46.70","8.23714"
"46.80","8.2338"
"46.90","8.23036"
"47.00","8.22711"
"47.10","8.22371"
"47.20","8.22"
"47.30","8.2166"
"47.40","8.21327"
"47.50","8.20989"
"47.60","8.20643"
"47.70","8.20297"
"47.80","8.19964"
"47.90","8.19624"
"48.00","8.19258"
"48.10","8.18919"
"48.20","8.18578"
"48.30","8.18257"
"48.40","8.17913"
"48.50","8.1756"
"48.60","8.17223"
"48.70","8.16888"
"48.80","8.16551"
"48.90","8.16207"
"49.00","8.1589"
"49.10","8.1555"
"49.20","8.15233"
"49.30","8.14886"
"49.40","8.14524"
"49.50","8.14168"
"49.60","8.13829"
"49.70","8.13495"
"49.80","8.13136"
"49.90","8.12806"
"50.00","8.12458"
"50.10","8.12117"
"50.20","8.11782"
"50.30","8.11428"
"50.40","8.1109"
"50.50","8.10741"
"50.60","8.10402"
"50.70","8.10069"
"50.80","8.09732"
"50.90","8.09394"
"51.00","8.0908"
"51.10","8.08738"
"51.20","8.08388"
"51.30","8.08031"
"51.40","8.07691"
"51.50","8.07351"
"51.60","8.07006"
"51.70","8.06658"
"51.80","8.06325"
"51.90","8.05998"
"52.00","8.05663"
"52.10","8.05324"
"52.20","8.04986"
"52.30","8.04648"
"52.40","8.04288"
"52.50","8.03949"
"52.60","8.03631"
"52.70","8.03293"
"52.80","8.02952"
"52.90","8.0259"
"53.00","8.02228"
"53.10","8.01886"
"53.20","8.01561"
"53.30","8.01235"
"53.40","8.00893"
"53.50","8.00569"
"53.60","8.00233"
"53.70","7.99883"
"53.80","7.99547"
"53.90","7.99196"
"54.00","7.98835"
"54.10","7.98508"
"54.20","7.98149"
"54.30","7.97806"
"54.40","7.9749"
"54.50","7.97165"
"54.60","7.96807"
"54.70","7.96472"
"54.80","7.96142"
"54.90","7.95787"
"55.00","7.95457"
"55.10","7.95098"
"55.20","7.94733"
"55.30","7.944"
"55.40","7.94071"
"55.50","7.93732"
"55.60","7.93415"
"55.70","7.9306"
"55.80","7.9273"
"55.90","7.92387"
"56.00","7.92042"
"56.10","7.9169"
"56.20","7.91349"
"56.30","7.91025"
"56.40","7.90687"
"56.50","7.9036"
"56.60","7.90009"
"56.70","7.89644"
"56.80","7.89296"
"56.90","7.88965"
"57.00","7.8863"
"57.10","7.88288"
"57.20","7.87943"
"57.30","7.87579"
"57.40","7.87258"
"57.50","7.86917"
"57.60","7.86567"
"57.70","7.86197"
"57.80","7.85841"
"57.90","7.85472"
"58.00","7.85123"
"58.10","7.84769"
"58.20","7.84422"
"58.30","7.84116"
"58.40","7.83767"
"58.50","7.83419"
"58.60","7.83096"
"58.70","7.82773"
"58.80","7.82431"
"58.90","7.82078"
"59.00","7.81703"
"59.10","7.81359"
"59.20","7.81023"
"59.30","7.80682"
"59.40","7.80316"
"59.50","7.79961"
"59.60","7.79608"
"59.70","7.79258"
"59.80","7.78891"
"59.90","7.78573"
"60.00","7.78256"
"60.10","7.77876"
"60.20","7.77514"
"60.30","7.77184"
"60.40","7.76827"
"60.50","7.76464"
"60.60","7.76131"
"60.70","7.75807"
"60.80","7.75475"
"60.90","7.75131"
"61.00","7.74779"
"61.10","7.74408"
"61.20","7.74048"
"61.30","7.73687"
"61.40","7.73345"
"61.50","7.73011"
"61.60","7.72655"
"61.70","7.72326"
"61.80","7.71978"
"61.90","7.71618"
"62.00","7.71258"
"62.10","7.70916"
"62.20","7.7054"
"62.30","7.70174"
"62.40","7.69831"
"62.50","7.69472"
"62.60","7.69099"
"62.70","7.68734"
"62.80","7.68392"
"62.90","7.68038"
"63.00","7.67699"
"63.10","7.67334"
"63.20","7.66979"
